,segment,gage,gageDA,segDA,error
1,EL1_5430_0001,1485500,44.9,45.38,-1.0711
2,EL2_4400_4590,1488500,46.8,47.55,-1.6034
3,EM2_3980_0001,1491000,113,114.19,-1.0504
4,EU0_3830_0001,1493000,19.7,20.08,-1.9152
5,EU1_2650_0001,1495000,51.6,53.21,-3.1217
6,JA2_7550_7280,2039500,302,312.81,-3.5805
7,JB3_6820_7053,2042500,251,251.24,-0.0956
8,JL1_6560_6440,2031000,95.3,95.35,-0.0555
9,JL2_6240_6520,2032680,174,177.19,-1.8316
10,JU1_6300_6650,2015700,110,110.4,-0.3673
11,JU1_7630_7490,2017500,105,105.15,-0.1391
12,JU2_6410_6640,2020500,141,141.52,-0.3702
13,JU2_7140_7330,2013000,162,169.06,-4.358
14,JU3_6380_6900,2011400,157,158.57,-0.9987
15,PL0_5010_5130,1654000,23.9,23.94,-0.1699
16,PL0_5750_0001,1661050,18.5,18.55,-0.2935
17,PL1_4460_4780,1648000,62.2,62.4,-0.3146
18,PL1_4540_0001,1649500,72.8,75.04,-3.0764
19,PL2_5300_5630,1660920,79.9,80.21,-0.3905
20,PM1_3510_4000,1637500,66.9,67.16,-0.3946
21,PM1_4250_4500,1645000,101,101.83,-0.8238
22,PM1_4430_4200,1638480,89.5,92.56,-3.4222
23,PS0_6150_6160,1621410,10.9,11.38,-4.3899
24,PS2_6730_6660,1626000,127,127.32,-0.2543
25,PS3_6460_6230,1625000,373,374.71,-0.4582
26,PU1_3100_3690,1610155,102,104.47,-2.4177
27,PU1_3850_4190,1596500,49.1,48.52,1.1723
28,PU2_4720_4750,1595000,73.1,73.17,-0.0997
29,PU2_4730_4220,1615000,58.2,58.41,-0.3557
30,RL5_6320_0000,1669000,27.9,27.09,2.9179
31,WM1_3910_0001,1589300,32.5,32.43,0.2025
32,XL0_5320_0001,1594670,9.38,9.28,1.0821
33,XL1_4690_0001,1594526,89.7,93.03,-3.7153
34,YP1_6570_6680,1671100,107,106.75,0.2355
35,JA1_7600_7570,2041000,158,157.944,0.0354
36,JL1_6760_6910,2030000,116,115.679,0.2767
37,JL1_7080_7190,2027500,47.7,47.5029,0.4132
38,JL1_6940_7200,2027000,93,93.3617,-0.3889
39,JL1_6770_6850,2028500,94.8,93.1323,1.7592
40,JL2_7110_7120,2030500,226,226.756,-0.3345
41,JL2_7240_7350,2027800,148,146.122,1.2689
42,JU1_7750_7560,2018500,34.3,34.2917,0.0242
43,JU2_7450_7360,2014000,153,156.004,-1.9634
44,PL1_5230_0001,1658000,54.8,55.5269,-1.3265
45,PL0_5540_5490,1658500,7.62,7.38524,3.0808
46,PL1_5910_0001,1661500,24,24.5351,-2.2296
47,PL0_5730_5690,1660400,35,34.5353,1.3277
48,PL1_5370_5470,1656000,93.4,93.2341,0.1776
49,PM2_2860_3040,1639000,173,172.642,0.2069
50,PM2_4860_4670,1643700,122,121.177,0.6746
51,PS1_4790_4830,1634500,102,102.077,-0.0755
52,PS2_5550_5560,1632000,210,209.871,0.0614
53,PU0_6080_5620,1605500,179,180.014,-0.5665
54,PU1_4840_4760,1595200,48.7,49.1478,-0.9195
55,PU2_4360_4160,1604500,221,218.623,1.0756
57,RU2_5940_6200,1666500,179,179.826,-0.4615
58,RU2_6090_6220,1665500,115,114.69,0.2696
59,RU2_5810_5610+RU2_5500_5610,1663500,285,281.822,1.1151
60,WU1_3240_3331,1581700,34.8,34.9787,-0.5135
61,WU1_3350_3490,1583500,59.8,59.8908,-0.1518
62,XU0_4130_4070,1591000,34.8,34.562,0.6839
63,XU0_4091_4270+XU0_4090_4270,1594000,98.4,97.4353,0.9804
64,YM2_6120_6430,1674000,256,257.395,-0.5449
65,YP0_6860_6840,1673550,25.5,25.3313,0.6616
66,YP2_6390_6330,1670400,342,341.928,0.0211
67,YP3_6470_6690,1672500,395,395.267,-0.0676
68,EL0_4560_4562+EL0_4561_4562,1487000,75.4,70.8871,5.985281
69,EL2_5110_5270,1485000,60.5,56.1755,7.147936
70,JA4_7280_7340,2040000,725,726.251,-0.17255
71,JA5_7480_0001,2041650,1342,1342.71,-0.05292
72,JL2_6441_6520,2032515,259,267.9136,-3.44154
73,JL4_6520_6710,2034000,663,700.0336,-5.58576
74,JL6_7320_7150,2029000,4581,4596.055,-0.32863
75,JU5_7420_7160,2025500,3256,3268.285,-0.37731
76,JL6_7440_7430,2026000,3649,3693.243,-1.21247
77,JL6_6960_6970,2035000,6252,6269.83,-0.28519
78,JL7_7100_7030,2037500,6753,6804.941,-0.76916
79,JU1_6290_6590,2011460,60.9,60.3527,0.898688
80,JU1_6590_6600,2011470,75.6,77.5111,-2.52791
81,JU2_6600_6810,2011500,134,134.3162,-0.23597
82,JU3_6640_6790,2021500,329,329.878,-0.26687
83,JU3_6900_6950,2011800,345,345.8976,-0.26018
84,JU3_7490_7400,2018000,329,330.153,-0.35046
85,JU1_6880_7260,2024000,647,647.848,-0.13107
86,JU3_6950_7330,2013100,612,613.739,-0.28416
87,JU3_6650_7300,2016500,1371,1373.745,-0.2002
88,JU5_7510_7500,2019500,2073,2081.809,-0.42496
89,PL0_4510_0001,1651000,49.4,52.1406,-5.54777
90,PM1_3120_3400,1639500,102,107.762,-5.64902
91,PM3_4670_4660,1644000,332,331.956,0.01325
92,PU6_4080_4180,1638500,9651,9666.477,-0.16036
93,PM7_4290_4200,1646500,11560,11574.79,-0.12795
95,PM7_4290_4200,1646502,11560,11574.79,-0.12795
97,PS2_6490_6420,1627500,212,212.4411,-0.20807
98,PS2_6660_6490,1626850,148,148.6484,-0.43811
99,PS3_5100_5080,1634000,770,773.678,-0.47766
100,PS3_6161_6280,1622000,376,376.6647,-0.17678
101,PS4_6360_5840,1628500,1079,1078.169,0.077051
102,PS5_5200_4380,1636500,3041,3040.917,0.002731
103,PS5_5240_5200,1631000,1634,1637.824,-0.234
104,PS4_5840_5240,1629500,1372,1375.564,-0.25974
105,PU1_4190_4300,1597500,106,104.802,1.13019
106,PU2_4220_3900,1616500,273,277.614,-1.69011
107,PU2_3090_4050,1619500,281,280.2547,0.265229
108,PU2_6050_5190,1607500,103,112.594,-9.31456
109,PU2_5190_4310,1608000,277,289.394,-4.47437
110,PU3_3290_3390,1614500,494,502.4223,-1.70492
111,PU3_3680_3890,1601500,247,253.7961,-2.75145
112,PU3_3860_3610,1611500,675,681.9352,-1.02744
113,PU4_3890_3990,1603000,877,877.0787,-0.00897
114,PU4_4310_4210,1608500,1461,1465.497,-0.30778
115,PU1_4300_4440,1598500,406,404.6297,0.337522
116,PU1_5380_5050,1606500,651,651.5207,-0.07999
117,PU6_3870_3690,1613000,4064,4082.883,-0.46464
118,PU5_4170_4020,1610000,3129,3119.358,0.308158
119,PU6_3602_3730,1618000,5953,5965.175,-0.20452
120,RU2_5220_5640,1664000,619,607.0334,1.933215
121,RU3_6170_6040,1667500,468,467.7951,0.04378
122,WM3_3880_4060,1589000,285,284.8684,0.046177
123,WU2_3020_3320,1582500,160,159.4215,0.361567
124,XU2_4070_4330,1591610,78.6,78.9489,-0.4439
125,XU2_4330_4480,1592500,132,132.5037,-0.38159
126,XU2_4270_4650,1594440,348,341.9843,1.72865
127,YM1_6370_6620,1674500,603,597.217,0.959039
128,YP3_6330_6700,1671020,462,463.538,-0.3329
129,YP4_6720_6750,1673000,1078,1101.601,-2.18931
130,PL0_5000_0001,1653000,33.9,34.7995,-2.65339
131,PM4_3341_4040,1643000,817,815.7846,0.148767
132,PS2_5560_5100,1633000,508,508.966,-0.19016
133,RL1_6180_0001,1668500,45.6,44.5879,2.219521
135,RU5_6030_0001,1668000,1595,1597.503,-0.15693
138,JL6_6740_7100,2037000,66.6,6768.83,-10063.4
139,JU4_7330_7000,2016000,461,3428.74,-643.761
140,PL1_5060_0000,1653600,39.5,23.3324,40.93063
141,PL7_4910_0000,1646580,11570,0.546141,99.99528
