"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"South Fork Roanoke River (Headwater)","OR1_8280_8020",0,0,1.201,4.092,3.683,-2.48,7.044,8.197,7.377,-0.33,0,0,0,0,0,0,-2.482,-0.332
"2",2,"North and South Fork (Confluence) Roanoke River","OR2_8020_8130",1.726,0,0.745,10.353,9.317,-8.57,13.407,19.11,17.199,-3.79,0,0,0,0,0,0,-8.572,-3.792
"3",3,"Tinker Creek","OR3_7740_8271_tinker",2.392,0,0.868,1.416,1.275,-0.41,1.814,1.984,1.786,0.03,0,0,0,0,0,0,-0.407,0.028
"4",4,"Spring Hollow Reservoir","OR2_8130_7900_spring_hollow",6.085,0,0,0.009,0.008,-0.01,0,0.022,0.02,-0.02,0,0,0,0,0,0,-0.008,-0.02
"5",5,"Roanoke River (Wayside Park)","OR2_8130_7900",8.8,0.14,1.032,11.09,9.981,-8.95,15.031,20.916,18.825,-3.79,0,0,0,0,0,0,-8.949,-3.794
"6",6,"Roanoke River (Salem)","OR2_7900_7740",12,0.14,6.203,21.856,19.671,-13.47,26.036,37.561,33.805,-7.77,0,0,0,0,0,0,-13.468,-7.769
"7",7,"Catawba Creek","OR3_7740_8271_catawba",12.337,0,1.511,2.46,2.214,-0.7,3.468,3.45,3.105,0.36,0,0,0,0,0,0,-0.703,0.363
"8",8,"Carvins Cove Reservoir","OR3_7740_8271_carvins",12.337,0,0,0,0,0,0,0,0,0,5979.215,0,5979.215,5111.033,0,5111.033,199.307,66.436
"9",9,"Roanoke River (Roanoke)","OR3_7740_8271",19.718,3.525,21.844,37.851,34.066,-12.22,54.367,62.296,56.067,-1.7,0,5979.215,5979.215,0,5111.033,5111.033,187.085,64.736
