"","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL30mg_apx_total","SminL30mg_nex_total","SminL90mg_apx_total","SminL90mg_nex_total","WA_mgd_30_apx","WA_mgd_30_nex","WA_mgd_90_apx","WA_mgd_90_nex"
"1","Crooked Run","PS5_4381_4380",0.11,0,0.1,0,0,0.103,0.7,0.8,0.7,0.011,0.899,0.915,1.504,1.504,0.032,0.032,0.463,0.47
"2","Mill Creek @ Meadows Pond","YP3_6672_6670",0.55,0,0.1,0.1,0.1,-0.051,0.4,0.5,0.4,-0.051,43.651,43.651,43.664,43.664,1.54,1.54,0.762,0.763
"3","Sugar Hollow","JL2_6445_6440",3.09,0,0,0.4,0.4,-0.399,0,1.4,1.2,-1.248,28.315,28.315,28.318,28.497,1.202,1.202,1.121,1.123
"4","Little Back Creek","JU2_6602_6600",0,0,2,1.5,1.4,0.649,2,1.5,1.4,0.65,32.584,32.584,32.584,32.584,1.959,1.959,1.235,1.235
"5","Yarmouth Creek @ Cranstons Mill Pond","JB0_7055_7054",0.07,0,0,0,0,-0.003,0,0.1,0.1,-0.047,168.888,168.888,168.888,168.888,5.632,5.632,1.923,1.923
"6","Yarmouth Creek bt Cranston Mill and Little Creek","JB0_7054_7050",0.07,-0.01,0,0,0,-0.003,0,0.1,0.1,-0.073,168.888,168.888,168.888,168.888,5.632,5.632,1.924,1.924
"7","Harris Creek","JL6_7441_7440",0.95,0,4.2,2.7,2.4,1.723,9.1,4.4,4,5.159,186.985,193.035,199.647,199.647,7.813,8.015,4.644,4.785
"8","Beaver Creek - VAHydro 1.0","JL1_6562_6560",0.52,0,0.3,0.3,0.3,0.034,0.7,1.1,1,-0.287,478.37,485.384,478.37,478.37,16.146,16.38,5.96,5.96
"9","Lake Pelham: Mountain Run","RU4_5642_5640",1.56,0,0,0,0,0,0.9,0,0,0.93,575.943,575.943,570.513,570.513,19.198,19.198,6.4,6.339
"10","Ivy Creek","JL2_6442_6441",0,0,1.1,1.1,1,0.109,3.1,3.7,3.3,-0.242,520.169,520.169,520.169,520.169,17.976,17.976,7.939,7.939
"11","Buck Mountain Creek","JL2_6447_6440",0,0,1.3,1.3,1.1,0.127,3.1,3.8,3.5,-0.315,520.169,520.169,520.169,520.169,18.077,18.077,8.017,8.017
"12","Chickahominy River @ Confluence w/James, tidal","JB0_7050_0000",15.45,5.86,9.8,1.7,1.5,8.36,39.6,34.9,31.4,8.249,168.888,168.888,168.888,168.888,6.591,6.591,22.169,22.169
"13","Mechums River","JL1_6560_6440",0.05,0,3.2,3.6,3.2,-0.017,12.5,13.7,12.3,0.176,478.37,485.384,478.37,478.37,18.017,18.25,13.262,13.262
"14","White Run Reservoir","RU2_6091_6090",0,0,0.1,0,0,0.031,0.2,0.1,0.1,0.055,884.542,894.287,891.172,897.668,29.512,29.837,9.901,10.046
"15","Po river","YM2_6120_6430",3.89,0.34,5.9,0,0,5.919,13.9,0,0,13.898,914.646,1358.931,1188.973,1188.973,30.488,45.298,10.163,13.211
"16","Ni River Reservoir","YM2_6122_6120",3.7,0,0.8,0,0,0.773,0.8,0,0,0.773,914.646,1358.931,1188.973,1188.973,30.489,45.298,10.163,13.211
"17","Moormans River","JL2_6440_6441",0,0,1.9,2,1.8,0.11,4.6,6,5.4,-0.731,1059.438,1066.452,1059.441,1059.62,36.46,36.694,15.247,15.249
"18","Rapidan River","RU2_6090_6220",0.7,0,9.4,6,5.4,3.999,21.3,15.9,14.3,6.986,884.542,894.287,891.172,897.668,32.989,33.314,19.093,19.239
"19","Motts Run","RU5_6032_6030",2.98,0,0,0.1,0.1,-0.106,0,0.4,0.4,-0.362,1253.517,1253.517,1019.851,1131.502,41.852,41.852,14.162,12.806
"20","Rapidan River","RU2_6220_6170",1.81,0.04,17.5,8.7,7.8,9.72,36.7,26,23.4,13.359,884.542,894.287,891.172,897.668,34.527,34.852,24.927,25.072
"21","Ragged Mountain","JL4_6521_6520",0.17,0,0,0.1,0,-0.05,0,0.2,0.2,-0.153,1570.62,1574.606,1495.477,1552.104,52.386,52.519,17.55,17.345
"22","Rapidan River near Culpepper","RU3_6170_6040",2.39,1.07,39.2,15.8,14.2,24.984,78.5,46,41.4,37.085,884.542,894.287,891.172,897.668,38.655,38.98,36.594,36.74
"23","Rappahannock River","RU4_5640_6030",0.31,1.91,48.1,31.2,28.1,19.956,97.4,62.1,55.9,41.578,575.943,575.943,570.513,570.513,37.365,37.365,42.512,42.452
"24","Mattaponi River","YM3_6430_6620",4.09,0.41,11,0,0,10.968,33.3,0,0,33.292,1826.995,2271.28,2101.322,2101.322,60.9,75.709,20.3,23.348
"25","Mattaponi River @ Fall Line","YM4_6620_0001",4.49,0.44,16.2,0,0,16.163,54,0,0,53.968,1826.995,2271.28,2101.322,2101.322,60.9,75.709,20.3,23.348
"26","Chickahominy River","JB3_7053_0001",5.5,0.06,0,0.5,0.4,-0.406,26.4,29.6,26.6,-0.226,1726.988,1726.988,1726.988,1726.988,57.829,57.829,36.399,36.399
"27","Ware River @ Mobjack Bay","YL0_7010_0000",0,0.63,3.4,0,0,3.365,8.3,0,0,8.345,2151.574,2151.574,2166.27,2166.27,71.719,71.719,23.906,24.07
"28","Beaverdam Swamp @ Reservoir Dam","YL0_7012_7010",0.68,0,1,0,0,1,1,0,0,1,2151.574,2151.574,2166.27,2166.27,71.719,71.719,23.906,24.07
"29","Hunting Run","RU5_6033_6030",3.51,0,0,0,0,0,0,0,0,0,2660.171,2990.707,2660.171,2834.051,88.672,99.69,29.557,31.489
"30","Savage River Dam","PU1_4190_4300",0,0,7.2,3.3,3,4.179,29.6,10.2,9.2,20.381,2505.743,2516.429,1209.261,1912.94,85.452,85.809,33.795,27.208
"31","Savage River","PU1_4300_4440",0,0,8,3.9,3.6,4.441,32.2,11.6,10.4,21.777,2505.743,2516.429,1209.261,1912.94,85.82,86.176,34.588,28.002
"32","South Rivanna River Reservoir","JL2_6441_6520",17.26,0.45,6.5,9.5,8.5,-2.03,14,32.2,29,-14.986,2387.972,2434.519,2387.975,2388.154,85.102,86.654,45.284,45.286
"33","Spring Hollow Reservoir","OR2_8130_7900_spring_hollow",6.09,0,0,0,0,-0.013,0,0,0,-0.031,2949.714,3134.122,2400.783,2579.258,98.332,104.479,32.795,28.678
"34","Roanoke River (Wayside Park)","OR2_8130_7900",8.8,0.14,1.6,17.2,15.4,-13.844,23.3,32.4,29.1,-5.869,2949.714,3134.122,2400.783,2579.258,108.305,114.451,51.599,47.483
"35","T. Nelson Elliott Dam","PL0_5141_5140",11.9,0,1.8,0.7,0.6,1.222,5.7,5.1,4.6,1.195,3830.588,4149.644,2971.413,3288.378,128.079,138.714,45.506,39.481
"36","Broad Run at Confluence with Cedar Run","PL2_5140_5360",13.01,0,3.3,1.2,1.1,2.225,10.4,12.2,11,-0.553,3830.588,4149.644,2971.413,3288.378,128.402,139.037,49.669,43.644
"37","Lake Mead Dam","JB1_8090_0001",0.13,0,0,0,0,0,0,0,0,0,4045.852,4051.691,4045.852,4045.852,134.862,135.056,44.954,44.954
"38","Roanoke River (Salem)","OR2_7900_7740",12,0.14,9.6,33.8,30.4,-20.835,40.3,58.1,52.3,-12.018,2949.714,3134.122,2400.783,2579.258,117.995,124.141,66.579,62.463
"39","Cedar Run above Occoquan Reservoir","PL3_5360_5250",14.15,0.94,9.7,3.9,3.5,6.169,28.7,28,25.2,3.489,3830.588,4149.644,2971.413,3288.378,129.963,140.599,58.848,52.824
"40","Swift Creek","JA2_7290_0001",10.12,0,0.6,0.4,0.4,0.178,8.4,6.1,5.5,2.917,4340.743,4341.17,4436.761,4436.761,144.95,144.964,51.805,52.872
"41","Rocky Pen Run","RU5_6031_6030",6.03,0,0.1,0.1,0.1,0.013,0.4,0.2,0.2,0.231,4710.987,4905.386,4710.987,4829.032,157.068,163.548,52.47,53.781
"42","Rapidan River @ confluence w/Rappahannock","RU4_6040_6030",3.19,1.07,50.1,18.8,16.9,33.243,94.9,55.8,50.2,44.71,3910.567,3920.851,3771.275,3782.357,141.28,141.623,75.915,74.491
"43","Rivanna River","JL4_6520_6710",17.26,9.05,32,20.4,18.3,13.635,74.9,79.9,71.9,2.947,3958.592,4009.125,3883.452,3940.258,143.793,145.477,90.474,90.27
"44","Rivanna River @ James Confluence","JL4_6710_6740",18.13,9.05,34.3,22.9,20.6,13.685,78.8,84.8,76.3,2.446,3958.592,4009.125,3883.452,3940.258,145.261,146.945,93.31,93.106
"45","Carvins Cove Reservoir","OR3_7740_8271_carvins",12.34,0,0,0,0,0,0,0,0,0,5979.215,6320.919,5452.271,5839.221,199.307,210.697,66.436,64.88
"46","WESTERN BRANCH RESERVOIR:Western Branch Dam","JB2_7800_0001",1.15,0,0,0,0,-0.016,0.1,0.8,0.7,-0.625,6439.264,6445.07,6429.303,6429.303,214.652,214.846,71.992,71.881
"47","George F. Brasfield Dam","JA5_7480_0001",35.79,1.17,18.4,18.9,17,1.398,54.1,57.1,51.4,2.642,6404.519,6490.228,6404.519,6445.686,224.48,227.337,104.394,104.851
"48","Cobbs Creek Reservoir","JL6_6742_6740",0,0,0,0,0,-0.038,0,0.1,0.1,-0.081,8066.601,9946.116,8066.601,9946.116,268.911,331.562,89.681,110.565
"49","Shenandoah River","PS5_4380_4370",31.41,42.17,276.5,252.2,226.9,49.544,440.2,403.6,363.2,77.009,0.899,0.915,1.504,1.504,146.725,146.725,234.79,234.796
"50","Shenandoah River","PS5_4370_4150",31.41,44.03,287.3,260.2,234.2,53.095,448.9,411.9,370.7,78.231,0.899,0.915,1.504,1.504,151.413,151.413,239.647,239.653
"51","Roanoke River (Roanoke)","OR3_7740_8271",19.72,3.52,33.8,58.6,52.7,-18.907,84.1,96.4,86.7,-2.63,8928.929,9455.041,7853.054,8418.479,331.697,349.234,155.277,149.605
"52","Bath County Pump Store - Upper","JU1_6591_6590",0,0,2,1.5,1.4,0.65,2,1.5,1.4,0.65,11472.962,11576.575,11461.163,11535.422,383.305,386.758,128.35,129.044
"53","Occoquan Main Dam","PL3_5250_0001",85.95,54.94,0,90.9,81.8,-81.794,19.4,148.6,133.8,-114.382,11993.436,12312.492,10964.57,11281.535,452.654,463.289,219.736,211.826
"54","Rappahannock River @ Fall Line","RU5_6030_0001",27.41,3.48,101.9,54.8,49.3,52.546,198.2,124.1,111.7,86.496,14434.887,14970.106,14036.825,14451.483,513.056,530.897,232.612,232.796
"55","Back Creek - Bath County Lower Dam","JU1_6590_6600",0.01,0,7.5,1.7,1.5,5.98,9.3,4.4,4,5.294,20137.393,20241.006,20125.594,20199.853,672.229,675.683,226.32,227.014
"56","Back Creek","JU2_6600_6810",0.01,0.01,9.8,3.4,3,6.77,12.7,6.7,6,6.677,20169.977,20273.59,20158.178,20232.437,674.298,677.752,227.991,228.685
"57","Back Creek","JU2_6810_6900",0.01,0.01,9.8,3.4,3.1,6.757,12.9,6.9,6.2,6.707,20169.977,20273.59,20158.178,20232.437,674.324,677.778,228.099,228.793
"58","Bloomington/Jennings Randolph","PU3_4451_4450",0,0,38,17,15.3,22.649,101.7,43,38.7,62.998,25855.269,27040.694,25855.269,25855.269,871.733,911.247,312.286,312.286
"59","North Branch Potomac below Bloomington/Jennings Randolph","PU3_4450_4440",0,0,39.4,18.2,16.4,22.985,107.3,44.6,40.2,67.156,25855.269,27040.694,25855.269,25855.269,872.444,911.958,313.251,313.251
"60","Potomac River North Branch","PU4_4440_3970",0,0,53.8,25.2,22.7,31.081,156,58.2,52.4,103.586,28361.012,29557.123,27064.53,27768.209,960.055,999.925,348.972,342.385
"61","Potomac River North Branch","PU4_3970_3890",0,0,68.5,35,31.5,36.975,176.6,78.7,70.8,105.833,28361.012,29557.123,27064.53,27768.209,965.725,1005.595,360.895,354.308
"62","Potomac River North Branch @ Cumberland MD","PU4_3890_3990",0,0,123.3,55.1,49.6,73.676,209.9,110.6,99.5,110.374,28361.012,29557.123,27064.53,27768.209,977.432,1017.303,379.438,372.852
"63","Potomac River North Branch","PU4_3990_3780",0,0,123.7,55.1,49.6,74.11,211,111.7,100.6,110.477,28361.012,29557.123,27064.53,27768.209,977.449,1017.319,380.133,373.546
"64","Potomac River North Branch","PU4_3780_3930",0,0,128.7,57.3,51.6,77.045,221.4,120.9,108.8,112.527,28361.012,29557.123,27064.53,27768.209,978.731,1018.601,385.467,378.88
"65","Potomac River North Branch","PU5_3930_4170",0,0,135.2,61.5,55.4,79.782,236.4,127.6,114.8,121.545,28361.012,29557.123,27064.53,27768.209,981.16,1021.031,389.339,382.752
"66","Potomac River","PU5_4170_4020",1.79,1.79,187.6,94.1,84.7,102.904,310.7,210.5,189.5,121.191,28361.012,29557.123,27064.53,27768.209,1000.092,1039.963,437.601,431.014
"67","Potomac River","PU6_4020_3870",1.79,1.79,202.2,102.7,92.4,109.805,331.5,225.8,203.2,128.259,28361.012,29557.123,27064.53,27768.209,1005.11,1044.98,446.473,439.886
"68","Potomac River","PU6_3870_3690",1.79,1.79,207.7,105.7,95.1,112.584,335.6,228.8,205.9,129.634,28361.012,29557.123,27064.53,27768.209,1006.835,1046.705,448.234,441.647
"69","Potomac River","PU6_3690_3610",1.79,1.79,212.5,113,101.7,110.852,351.1,240,216,135.132,28361.012,29557.123,27064.53,27768.209,1011.092,1050.962,454.75,448.164
"70","Potomac River","PU6_3610_3530",1.79,1.79,226.2,136.6,122.9,103.33,399.9,259.7,233.8,166.113,28361.012,29557.123,27064.53,27768.209,1024.823,1064.694,466.234,459.647
"71","Potomac River","PU6_3530_3440",1.79,1.79,229.6,142.7,128.4,101.201,409.8,265.4,238.8,171.001,28361.012,29557.123,27064.53,27768.209,1028.359,1068.229,469.496,462.909
"72","Potomac River","PU6_3440_3590",1.79,1.79,235,148.8,133.9,101.078,423,275.2,247.7,175.292,28361.012,29557.123,27064.53,27768.209,1031.937,1071.807,475.217,468.63
"73","Potomac River","PU6_3590_3640",1.79,1.79,238.7,155.6,140.1,98.651,438.3,283.1,254.8,183.483,28361.012,29557.123,27064.53,27768.209,1035.902,1075.772,479.844,473.257
"74","Philpott Dam","OD2_8560_8630",0.13,0,64.4,57,51.3,13.112,74.6,59.1,53.2,21.41,32969.674,34649.068,32969.674,34592.929,1132.15,1188.13,400.693,418.729
"75","Potomac River","PU6_3640_3600",1.79,1.79,249.1,168.9,152,97.092,457.9,300.1,270.1,187.836,28361.012,29557.123,27064.53,27768.209,1043.625,1083.496,489.708,483.121
"76","Smith River below Philpott","OD3_8630_8720",8.36,0.24,53.2,52.3,47,6.127,77.6,76.7,69,8.561,32969.674,34649.068,32969.674,34592.929,1129.396,1185.376,410.929,428.965
"77","Smith River below Martinsville VA","OD3_8720_8900",13.6,6.11,61.9,61.8,55.6,6.337,99.4,99.2,89.3,10.125,32969.674,34649.068,32969.674,34592.929,1134.915,1190.895,424.029,442.065
"78","Potomac River","PU6_3600_3602",2.28,2.2,260.1,192.2,173,87.077,471.1,321.2,289.1,182.028,28361.012,29557.123,27064.53,27768.209,1057.181,1097.051,502.007,495.42
"79","Potomac River","PU6_3602_3730",2.28,2.2,263.4,199.5,179.6,83.818,475.5,326.7,294,181.493,28361.012,29557.123,27064.53,27768.209,1061.444,1101.315,505.181,498.594
"80","Potomac River","PU6_3730_3750",2.28,2.2,335.3,303.3,272.9,62.355,541.5,429.9,387,154.573,28361.012,29557.123,27064.53,27768.209,1121.805,1161.676,565.254,558.667
"81","Potomac River","PU6_3750_3752",3.22,3.03,382.7,353.8,318.4,64.239,608,514.8,463.3,144.761,28361.012,29557.123,27064.53,27768.209,1151.203,1191.073,614.589,608.002
"82","Potomac River","PU6_3752_4080",3.22,3.03,389.6,360.7,324.6,65.036,617.1,525.7,473.2,143.971,28361.012,29557.123,27064.53,27768.209,1155.2,1195.071,620.977,614.39
"83","Potomac River","PU6_4080_4180",3.22,3.03,392,363,326.7,65.314,621,529,476.1,144.839,28361.012,29557.123,27064.53,27768.209,1156.53,1196.401,622.905,616.319
"84","Dan River above Danville, VA","OD5_8900_8770",16.33,11.73,159.4,246.8,222.2,-62.72,263.4,432.1,388.9,-125.48,32969.674,34649.068,32969.674,34592.929,1242.593,1298.573,617.71,635.746
"85","Potomac River above Shenandoah Confluence","PU6_4180_4150",3.22,3.03,447,418,376.2,70.861,689.4,617.6,555.8,133.609,28361.012,29557.123,27064.53,27768.209,1188.539,1228.41,674.413,667.827
"86","Dan River @ Danville, VA","OD5_8770_8780",23.16,11.73,171.6,279.5,251.6,-79.992,295.4,481.8,433.6,-138.185,32969.674,34649.068,32969.674,34592.929,1261.607,1317.587,646.634,664.67
"87","Dan River below Danville VA","OD5_8780_8660",23.52,17.8,185.2,288.8,259.9,-74.672,314.7,498.2,448.4,-133.725,32969.674,34649.068,32969.674,34592.929,1266.981,1322.961,656.184,674.221
"88","Dan River @ South Boston VA","OD6_8660_8621",25.37,17.8,191.7,304.7,274.2,-82.483,323.8,512.6,461.4,-137.52,32969.674,34649.068,32969.674,34592.929,1276.227,1332.207,664.559,682.595
"89","Gathright Dam","JU3_6900_6950",3.57,3.63,80,6.3,5.7,74.337,82.8,16.1,14.5,68.332,43493.542,43597.155,43481.743,43556.002,1453.445,1456.899,492.608,493.302
"90","Jackson River","JU3_6950_7330",45.03,3.65,53.8,8.4,7.5,46.245,75.3,24.5,22,53.243,43493.542,43597.155,43481.743,43556.002,1454.654,1458.108,497.509,498.203
"91","Jackson River","JU4_7330_7000",45.03,40.94,146.1,16.3,14.7,131.45,167.9,43.8,39.4,128.499,43493.542,43597.155,43481.743,43556.002,1459.26,1462.714,508.738,509.432
"92","Dan River @ Kerr Reservoir","OD6_8621_8470",34.8,20.31,203.4,333.8,300.4,-96.983,349.5,564.8,508.3,-158.867,32969.674,34649.068,32969.674,34592.929,1293.157,1349.137,694.925,712.961
"93","James River","JU4_7000_7300",48.85,43.27,167.8,27.6,24.9,142.985,206.6,74.1,66.7,139.89,43493.542,43597.155,43481.743,43556.002,1465.852,1469.305,526.397,527.091
"94","James River","JU5_7300_7510",60.84,56.44,207.9,66.2,59.6,148.279,293.8,147.6,132.9,160.946,43493.542,43597.155,43481.743,43556.002,1488.318,1491.772,569.153,569.847
"95","James River","JU5_7510_7500",60.84,56.44,221.4,77.4,69.7,151.737,356.2,198.3,178.5,177.709,43493.542,43597.155,43481.743,43556.002,1494.832,1498.286,598.618,599.312
"96","James River","JU5_7500_7420",61.47,56.61,235.3,91.5,82.3,152.947,395.4,254.9,229.4,165.992,43493.542,43597.155,43481.743,43556.002,1503.012,1506.465,631.577,632.271
"97","James River","JU5_7420_7160",61.47,56.61,260.1,116.1,104.5,155.605,424.2,293.7,264.4,159.871,43493.542,43597.155,43481.743,43556.002,1517.316,1520.77,654.149,654.843
"98","James River","JL6_7160_7440",82.31,58.31,298.7,171.6,154.5,144.266,514.8,334.2,300.8,213.944,43493.542,43597.155,43481.743,43556.002,1549.642,1553.096,677.707,678.401
"99","Potomac River","PM7_4150_4290",34.63,47.06,772.2,718.6,646.7,125.495,1252.1,1067,960.3,291.811,28361.911,29558.038,27066.034,27769.713,1363.446,1403.317,935.881,929.301
"100","James River","JL6_7440_7430",82.98,75.38,370.4,233.5,210.1,160.248,629.8,418.2,376.3,253.451,43680.527,43790.19,43681.39,43755.649,1591.854,1595.509,728.609,729.444
"101","Potomac River Near Point of Rocks","PM7_4290_4200",34.63,47.06,789,735.7,662.1,126.92,1272.2,1100.3,990.2,281.941,28361.911,29558.038,27066.034,27769.713,1373.392,1413.263,955.242,948.662
"102","Potomac River below Point of Rocks","PM7_4200_4410",365.13,363.84,792.8,755.1,679.6,113.19,1280.6,1128.9,1016,264.557,28361.911,29558.038,27066.034,27769.713,1384.685,1424.556,971.884,965.304
"103","James River","JL6_7430_7320",89.49,75.86,366.2,234.7,211.2,155.008,632.5,513.6,462.3,170.273,43680.527,43790.19,43681.39,43755.649,1592.542,1596.198,784.152,784.987
"104","James River","JL6_7320_7150",89.49,81.71,378.6,238.9,215,163.592,649.4,520.4,468.3,181.043,43680.527,43790.19,43681.39,43755.649,1594.992,1598.648,788.08,788.915
"105","James River","JL6_7150_6890",91.18,82.04,423.2,292.9,263.6,159.586,746.5,616.1,554.5,192.055,43680.527,43790.19,43681.39,43755.649,1626.439,1630.094,843.768,844.603
"106","James River","JL6_6990_6960",91.57,82.39,452.7,325.6,293,159.647,818.9,686.1,617.5,201.472,43680.527,43790.19,43681.39,43755.649,1645.443,1649.098,884.479,885.314
"107","James River @ Scottsville VA","JL6_6890_6990",91.57,82.3,452,325.1,292.6,159.436,819.2,687.3,618.5,200.666,43680.527,43790.19,43681.39,43755.649,1645.126,1648.782,885.167,886.001
"108","James River","JL6_6960_6970",91.58,82.4,458.6,331.5,298.3,160.328,836.8,703.5,633.1,203.673,43680.527,43790.19,43681.39,43755.649,1648.846,1652.501,894.589,895.423
"109","James River above Rivanna Confluence, Columbia","JL6_6970_6740",98.75,88.93,464.4,337.7,304,160.482,857,722.6,650.4,206.654,43680.527,43790.19,43681.39,43755.649,1652.5,1656.156,905.754,906.588
"110","Potomac River below Monocacy confluence","PM7_4410_4620",779.11,766.94,971.6,948.3,853.5,118.15,1448.1,1391.4,1252.3,195.797,28361.911,29558.038,27066.034,27769.713,1497.104,1536.975,1124.634,1118.054
"111","Potomac River above Seneca Park","PM7_4620_4580",882.79,770.68,961.4,1085.7,977.1,-15.688,1415.2,1489.6,1340.6,74.543,28361.911,29558.038,27066.034,27769.713,1577.012,1616.883,1181.737,1175.157
"112","Potomac River at Great Falls","PM7_4580_4820",1133.07,770.68,727.3,1166.4,1049.8,-322.542,1126.1,1577.1,1419.4,-293.219,28361.911,29558.038,27066.034,27769.713,1623.996,1663.867,1232.627,1226.047
"113","Middle Potomac River at Fall Line / Little Falls","PM7_4820_0001",1136.74,770.68,741.5,1187.6,1068.9,-327.396,1139.9,1605.2,1444.7,-304.827,28361.911,29558.038,27066.034,27769.713,1636.33,1676.201,1249,1242.42
"114","James River @ Fall Line Richmond","JL7_7070_0001",214.05,118.94,588.7,395,355.5,233.177,863.9,724.1,651.7,212.229,55705.72,57745.431,55631.443,57642.023,2086.641,2154.631,1040.209,1061.723
"115","James River below Rivanna Confluence above Cartersville","JL6_6740_7100",117.03,97.98,655.2,369.1,332.2,323.026,1024.9,819,737.1,287.76,55705.72,57745.431,55631.443,57642.023,2071.602,2139.593,1095.429,1116.944
"116","James River @ Cartersville","JL7_7100_7030",117.23,97.99,661.1,374.8,337.4,323.766,1049.6,843.9,759.5,290.078,55705.72,57745.431,55631.443,57642.023,2074.929,2142.919,1109.885,1131.399
"117","James River below Cartersville","JL7_7030_6800",117.23,97.99,662.7,376.6,339,323.743,1050.9,843.6,759.2,291.707,55705.72,57745.431,55631.443,57642.023,2075.972,2143.962,1109.708,1131.222
"118","James River @ Huguenot Bridge","JL7_6800_7070",150.38,97.99,631.2,394.7,355.2,276.003,1052.2,885.8,797.3,254.97,55705.72,57745.431,55631.443,57642.023,2086.46,2154.451,1134.308,1155.823
"119","North Anna Dam","YP2_6390_6330",0.02,0,20,6.7,6,13.964,20,20.5,18.4,1.576,89619.29,90239.98,89619.29,89619.29,2991.211,3011.901,1007.679,1007.679
"120","North Anna River @ Hart Corner","YP3_6330_6700",0.02,0,25,9.4,8.5,16.53,31.1,28.5,25.7,5.408,89619.29,90239.98,89619.29,89619.29,2992.782,3013.472,1012.354,1012.354
"121","North Anna River above Little River near Doswell","YP3_6700_6670",7.48,0,12,9.5,8.6,3.486,18.5,29.3,26.4,-7.893,89619.29,90239.98,89619.29,89619.29,2992.838,3013.527,1012.804,1012.804
"122","North Anna River @ Confluence with South Anna","YP3_6670_6720",9.04,3.61,22.3,11.6,10.4,11.909,35.2,37.8,34,1.186,89662.941,90283.631,89662.954,89662.954,2995.488,3016.177,1018.265,1018.265
"123","Pamunkey River","YP4_6720_6750",11.98,3.84,33.1,21.7,19.5,13.581,78.1,72.1,64.9,13.196,89662.941,90283.631,89662.954,89662.954,3001.367,3022.057,1038.224,1038.224
"124","Pamunkey River @ Fall Line","YP4_6750_0001",12.68,3.84,35.8,23.6,21.2,14.613,84.4,78.3,70.5,13.856,89662.941,90283.631,89662.954,89662.954,3002.492,3023.181,1041.83,1041.83
"125","Smith Mountain and Leesville Dams","OR4_8271_8120",23.77,24.51,375,136.2,122.6,252.424,378.4,233.4,210.1,168.324,332102.047,338038.945,331026.172,332073.253,11149.303,11347.199,3825.812,3825.492
"126","Roanoke River (Altavista)","OR4_8120_7890",26.41,25.75,456.1,160.9,144.8,311.354,499.8,274.8,247.3,252.493,332102.047,338038.945,331026.172,332073.253,11163.661,11361.558,3849.877,3849.557
"127","Roanoke River (Brookneal)","OR5_7890_7970",34.98,32.32,514.7,199.1,179.2,335.545,600.1,346.6,312,288.153,332102.047,338038.945,331026.172,332073.253,11185.901,11383.798,3891.693,3891.373
"128","Roanoke River (Nathalie)","OR5_7970_8200",35.18,32.63,534.6,218.8,196.9,337.762,666.9,380.6,342.6,324.327,332102.047,338038.945,331026.172,332073.253,11197.336,11395.232,3911.456,3911.136
"129","Roanoke River (Scuffletown)","OR5_8200_8370",35.18,32.63,548.9,228.7,205.8,343.117,686.2,398.6,358.8,327.395,332102.047,338038.945,331026.172,332073.253,11203.105,11401.001,3921.945,3921.625
"130","Roanoke River (Staunton)","OR5_8370_8410",35.18,32.63,552.6,229.7,206.7,345.892,685,399.9,359.9,325.098,332102.047,338038.945,331026.172,332073.253,11203.705,11401.601,3922.673,3922.353
"131","Roanoke River (Head Kerr Lake)","OR5_8410_8470",47.82,44.13,576.2,239.2,215.3,360.863,702.9,411,369.9,333.042,332102.047,338038.945,331026.172,332073.253,11209.255,11407.151,3929.103,3928.784
"132","Kerr Lake","OR7_8470_8490",94.32,69.18,971.1,679.9,611.9,359.169,1187.6,1144.7,1030.2,157.373,365071.721,372688.013,363995.846,366666.182,12564.597,12818.473,4722.284,4740.001
"133","Roanoke River   Roanoke Rapids","OR7_8490_0000",125.22,75.17,951.9,727.4,654.7,297.196,1178.8,1171.4,1054.3,124.588,365071.721,372688.013,363995.846,366666.182,12592.242,12846.118,4737.836,4755.552
